Name,Mondeo TDCi 2015 2.0經典型,Mondeo TDCi 2015 2.0豪華型
新車售價,96.9萬,105.9萬
車身型式,大型房車,大型房車
動力型式,柴油,柴油
變速系統,自手排6速雙離合,自手排6速雙離合
排氣量,1997cc,1997cc
能源局公佈平均油耗,16.5km/ltr,16.5km/ltr
燃料稅,3708元,3708元
牌照稅,11230元,11230元
車長(mm),4844mm,4844mm
車寬(mm),1886mm,1886mm
車高(mm),1500mm,1500mm
軸距(mm),2850mm,2850mm
車重(kg),1640kg,1640kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),70L,70L
行李容積(L),550L,550L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,16,16
最大馬力,163hp@3750rpm,163hp@3750rpm
最大扭力,34.6kgm@2000~3250rpm,34.6kgm@2000~3250rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,235/45R17,235/45R17
後輪尺碼,235/45R17,235/45R17
感應式雨刷,-,●
後視鏡電動折疊,●,●
後視鏡方向指示燈,●,●
旅程電腦,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,-,●
膝部氣囊,●,●
ABS防鎖死,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,●,●
倒車雷達,●,●
防盜系統,●,●
前座座椅調整,-,●
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、CD
音響喇叭數量,8只,8只
感應頭燈,-,●
主動轉向頭燈,-,●
LED日行燈,-,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
