Name,Persona 2015 1.6自排型
新車售價,52.8萬
車身型式,小型房車
動力型式,汽油
變速系統,自排4速
排氣量,1597cc
能源局公佈平均油耗,11km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),4477mm
車寬(mm),1725mm
車高(mm),1438mm
軸距(mm),2600mm
車重(kg),1240kg
車門數,5門
乘客數,5座
油箱容量(L),50L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.5
最大馬力,110hp@6000rpm
最大扭力,15.1kgm@4000rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,195/60R15
後輪尺碼,195/60R15
前座正面氣囊,●
ABS防鎖死,●
倒車雷達,●
防盜系統,●
後座分離式傾倒,●
後座杯架,●
音響系統,CD
音響喇叭數量,4只
前霧燈,●
後霧燈,●
