Name,Panda 2008 1.3
新車售價,59.8萬
車身型式,小型掀背車
動力型式,汽油
變速系統,手自排5速
排氣量,1242cc
能源局公佈平均油耗,18.2km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),3538mm
車寬(mm),1578mm
車高(mm),1540mm
軸距(mm),2299mm
車重(kg),860kg
車門數,5門
乘客數,5座
進氣型式,自然吸氣
汽門構造,OHV
汽缸設計,直列4缸
汽門數,8
壓縮比,9.8
最大馬力,60hp@5000rpm
最大扭力,10.4kgm@2500rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前後碟煞
前輪尺碼,155/80R13
後輪尺碼,155/80R13
電動天窗,●
車頂行李架,●
旅程電腦,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
防盜系統,●
後座分離式傾倒,●
音響系統,MP3、CD
音響喇叭數量,2只
後霧燈,●
