Name,Lancer 2016 Fortis 1.8傳奇型,Lancer 2016 Fortis 1.8經典型,Lancer 2016 iO 1.8躍動型,Lancer 2016 Fortis 1.8豪華型,Lancer 2016 iO 1.8勁動型,Lancer 2016 iO 1.8悍動型,Lancer 2016 Fortis 1.8旗艦型,Lancer 2016 iO 2.0
新車售價,64.5萬,66.9萬,69.9萬,70.9萬,72.9萬,76.9萬,76.9萬,80.9萬
車身型式,中型房車,中型房車,中型房車,中型房車,中型房車,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,手自排CVT 6速,手自排CVT 6速,手自排CVT 6速,手自排CVT 6速,手自排CVT 6速,手自排CVT 6速,手自排CVT 6速,手自排CVT 6速
排氣量,1798cc,1798cc,1798cc,1798cc,1798cc,1798cc,1798cc,1998cc
能源局公佈平均油耗,14.9km/ltr,14.9km/ltr,15km/ltr,14.9km/ltr,15km/ltr,15km/ltr,14.9km/ltr,13.6km/ltr
燃料稅,4800元,4800元,4800元,4800元,4800元,4800元,4800元,6180元
牌照稅,7120元,7120元,7120元,7120元,7120元,7120元,7120元,11230元
車長(mm),4585mm,4585mm,4585mm,4585mm,4585mm,4585mm,4585mm,4585mm
車寬(mm),1760mm,1760mm,1760mm,1760mm,1760mm,1760mm,1760mm,1760mm
車高(mm),1490mm,1490mm,1490mm,1490mm,1490mm,1490mm,1490mm,1490mm
軸距(mm),2635mm,2635mm,2635mm,2635mm,2635mm,2635mm,2635mm,2635mm
車門數,4門,4門,4門,4門,4門,4門,4門,4門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),59L,59L,59L,59L,59L,59L,59L,59L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16,16
壓縮比,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10
最大馬力,143hp@6000rpm,143hp@6000rpm,143hp@6000rpm,143hp@6000rpm,143hp@6000rpm,143hp@6000rpm,143hp@6000rpm,157hp@6000rpm
最大扭力,18.2kgm@4250rpm,18.2kgm@4250rpm,18.2kgm@4250rpm,18.2kgm@4250rpm,18.2kgm@4250rpm,18.2kgm@4250rpm,18.2kgm@4250rpm,20.9kgm@4250rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/60R16,205/60R16,205/60R16,205/60R16,205/60R16,205/60R16,205/60R16,215/45R18
後輪尺碼,205/60R16,205/60R16,205/60R16,205/60R16,205/60R16,205/60R16,205/60R16,215/45R18
電動天窗,-,-,-,-,-,●,●,●
後視鏡電動折疊,-,-,-,●,●,●,●,●
後視鏡方向指示燈,-,-,-,●,●,●,●,●
方向盤換檔,-,-,-,-,●,●,-,●
旅程電腦,●,●,●,●,●,●,●,●
Keyless免匙系統,-,-,-,●,-,●,●,●
恆溫空調,●,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●,●
前座側面氣囊,-,-,-,-,-,-,●,-
側面氣簾,-,-,-,-,-,-,●,-
膝部氣囊,●,●,●,●,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●,●,●,●,●
定速系統,-,●,●,●,●,●,●,●
倒車雷達,-,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●,●
座椅材質,織布,織布,-,-,-,-,-,-
跑車式座椅,-,-,●,-,●,●,-,●
後座分離式傾倒,●,●,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●,●
外部音源接入,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN
藍牙通訊,●,●,●,●,●,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4只,4只,4只,4只,4只,4只,6只,6只
頭燈光源,-,-,-,-,-,HID,-,HID
主動轉向頭燈,-,-,-,-,-,●,-,●
LED尾燈,●,●,●,●,●,●,●,●
前霧燈,-,-,-,●,●,●,●,●
後霧燈,●,●,●,●,●,●,●,●
