Name,C-Class Cabriolet 2019 C200,C-Class Cabriolet 2019 C43 4MATIC
新車售價,244萬起,382萬起
車身型式,敞篷車,敞篷車
動力型式,汽油,汽油
變速系統,手自排9速,手自排9速
排氣量,1497cc,2996cc
極速(km/h),235km/h,250km/h
官方0-100km/h加速(s),8.5s,4.8s
燃料稅,4800元,7200元
牌照稅,7120元,15210元
汽缸設計,直列4缸,V型6缸
汽門數,16,24
最大馬力,184hp@5800~6100rpm,390hp@6100rpm
最大扭力,28.5kgm@3000~4000rpm,53kgm@2500~5000rpm
驅動型式,後輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/50R17,225/40R19
後輪尺碼,225/50R17,255/35R19
引擎擺放位置,前置,前置
運動外觀套件,○,○
電動開闔尾門/行李蓋,○,●
輪圈規格,17吋,19吋
後雨刷,●,-
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,-
後視鏡記憶,-,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,○,○
環景影像系統,○,○
Keyless免匙系統,○,●
中控鎖,●,●
衛星導航,○,●
恆溫空調,雙區,雙區
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,-
胎壓偵測,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,-,ESP
車道偏離警示,○,○
循跡系統,ESP,●
主動安全預防系統,○,○
定速系統,●,●
自動停車系統,○,●
盲點偵測系統,○,●
駕駛警示系統,○,○
倒車雷達,●,●
倒車顯影系統,○,○
防盜系統,○,-
電子差速器,-,●
電子手剎車,●,-
駕駛模式選擇,●,●
座椅材質,真皮,真皮
跑車式座椅,-,○
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
後座分離式傾倒,4/2/4,4/2/4
座椅記憶功能,●,●
外部音源接入,●,●
多媒體系統,7吋,10.25吋
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,13,13
頭燈光源,LED,LED
感應頭燈,●,●
頭燈水準自動調整,●,●
LED日行燈,●,-
前霧燈,●,●
引擎啟閉系統,●,●
