Name,GLE Coupe 2017 350d 4MATIC,GLE Coupe 2017 AMG GLE43 4MATIC,GLE Coupe 2017 AMG GLE63 4MATIC
新車售價,372萬,427萬,661萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,汽油,汽油
變速系統,手自排9速,手自排9速,手自排7速
排氣量,2987cc,2996cc,5461cc
極速(km/h),226km/h,250km/h,250km/h
官方0-100km/h加速(s),7.0s,5.7s,4.3s
能源局公佈平均油耗,12.5km/ltr,9.1km/ltr,7km/ltr
能源效率等級,1,3,2
燃料稅,4320元,7200元,13080元
牌照稅,15210元,15210元,69690元
車長(mm),4900mm,4891mm,4918mm
車寬(mm),2003mm,2003mm,2003mm
車高(mm),1731mm,1719mm,1720mm
軸距(mm),2915mm,2915mm,2915mm
車重(kg),2250kg,2220kg,2350kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
油箱容量(L),93L,93L,93L
行李容積(L),1720L,1720L,1720L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型8缸
汽門數,24,24,32
壓縮比,15.5,10.5,10
最大馬力,258hp@3400rpm,390hp@5500~6000rpm,557hp@5750rpm
最大扭力,63.2kgm@1600rpm,53kgm@1800~4000rpm,71.4kgm@1750~5500rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,275/50R20,275/45 R21,285/45 R21
後輪尺碼,275/50R20,315/40 R21,325/40 R21
引擎擺放位置,前置,前置,前置
電動天窗,●,●,●
電動開闔尾門/行李蓋,●,●,●
輪圈規格,20吋,-,-
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
方向盤調整,●,●,-
多功能方向盤,●,●,●
方向盤換檔,●,●,-
動力方向盤,●,●,-
旅程電腦,●,●,-
中央顯示幕,●,●,●
環景影像系統,●,●,●
Keyless免匙系統,○,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,雙區,雙區,-
後座出風口,●,●,-
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
膝部氣囊,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESP,ESP,ESP
循跡系統,●,●,●
主動安全預防系統,●,●,●
自動停車系統,●,●,●
盲點偵測系統,○,-,-
駕駛警示系統,●,●,●
倒車雷達,●,●,●
倒車顯影系統,●,●,●
防盜系統,●,●,●
氣壓懸吊,-,●,●
電子手剎車,●,●,●
座椅材質,真皮,真皮,真皮
跑車式座椅,●,●,●
腰部支撐調整,電動,電動,電動
前座座椅調整,●,-,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
加熱座椅,○,○,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
藍牙通訊,●,●,●
音響系統,●,○,●
音響喇叭數量,14,14,14
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
主動轉向頭燈,●,●,●
自適應遠近光,●,●,●
LED日行燈,●,●,-
後霧燈,●,●,●
引擎啟閉系統,●,●,-
