Name,M-Class 2015 ML250 BlueTEC 4MATIC,M-Class 2015 ML350 BlueTEC 4MATIC,M-Class 2015 ML400 4MATIC,M-Class 2015 ML63 AMG
新車售價,309萬,358萬,365萬,708萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,柴油,汽油,汽油
變速系統,手自排7速,手自排7速,手自排7速,手自排7速
排氣量,2143cc,2987cc,2996cc,5461cc
能源局公佈平均油耗,14.2km/ltr,11km/ltr,9.5km/ltr,6.7km/ltr
燃料稅,3708元,4320元,7200元,13080元
牌照稅,11230元,15210元,15210元,69690元
車長(mm),4804mm,4804mm,4804mm,4817mm
車寬(mm),1926mm,1926mm,1926mm,1940mm
車高(mm),1788mm,1796mm,1796mm,1796mm
軸距(mm),2915mm,2915mm,2915mm,2915mm
車重(kg),2150kg,2175kg,2130kg,2345kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),93L,93L,93L,93L
行李容積(L),2010L,2010L,2010L,2010L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型8缸
汽門數,24,24,24,24
壓縮比,16.2,15.5,10.5,10
最大馬力,204hp@3800rpm,258hp@3600rpm,333hp@5500rpm,525hp@5250~5750rpm
最大扭力,51.0kgm@1600~1800rpm,63.2kgm@1600~2400rpm,48.9kgm@1400~4000rpm,71.4kgm@1700~5000rpm
驅動型式,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,255/55R18,255/50R19,255/50R19,265/45R20
後輪尺碼,255/55R18,255/50R19,255/50R19,265/45R20
電動天窗,●,●,●,●
電動開闔尾門/行李蓋,●,●,●,●
車頂行李架,●,●,●,●
感應式雨刷,●,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,-,電動,電動,電動
方向盤換檔,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
Keyless免匙系統,-,-,-,●
衛星導航,-,●,●,●
恆溫空調,●,●,●,●
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●
循跡系統,●,●,●,●
主動安全預防系統,●,●,●,●
陡坡緩降系統,●,●,●,●
定速系統,●,●,●,●
自動停車系統,●,●,●,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
跑車式座椅,-,-,-,●
腰部支撐調整,-,-,-,電動
前座座椅調整,-,●,●,●
後座分離式傾倒,●,●,●,●
座椅記憶功能,-,●,●,●
加熱座椅,-,-,-,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●,●,●
音響系統,MP3、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,8只,8只,8只,8只
頭燈光源,-,HID,HID,HID
感應頭燈,●,●,●,●
主動轉向頭燈,-,●,●,●
自適應遠近光,●,●,●,●
LED日行燈,●,●,●,●
LED尾燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
引擎啟閉系統,●,●,●,●
