Name,S80 2016 T5 豪華版,S80 2016 D4 豪華版,S80 2016 T5 旗艦版,S80 2016 D4 旗艦版
新車售價,201萬,206萬,224萬,229萬
車身型式,大型房車,大型房車,大型房車,大型房車
動力型式,汽油,柴油,汽油,柴油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1969cc,1969cc,1969cc,1969cc
極速(km/h),230km/h,225km/h,230km/h,225km/h
官方0-100km/h加速(s),6.5s,8.4s,6.5s,8.4s
能源局公佈平均油耗,11.9km/ltr,18.8km/ltr,11.9km/ltr,18.2km/ltr
能源效率等級,3級,1級,3級,1級
燃料稅,6180元,3708元,6180元,3708元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4854mm,4854mm,4854mm,4854mm
車寬(mm),1861mm,1861mm,1861mm,1861mm
車高(mm),1493mm,1493mm,1493mm,1493mm
軸距(mm),2835mm,2835mm,2835mm,2835mm
車重(kg),1656kg,1710kg,1656kg,1710kg
車門數,4門,4門,4門,4門
乘客數,5座,5座,5座,5座
油箱容量(L),70L,70L,70L,70L
行李容積(L),480L,480L,480L,480L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,10.8,15.8,10.8,15.8
最大馬力,245hp@5500rpm,181hp@4250rpm,245hp@5500rpm,181hp@4250rpm
最大扭力,35.7kgm@1500~4800rpm,40.8kgm@1750~2500rpm,35.7kgm@1500~4800rpm,40.8kgm@1750~2500rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/50R17,225/50R17,235/40R18,235/40R18
後輪尺碼,225/50R17,225/50R17,235/40R18,235/40R18
引擎擺放位置,前置,前置,前置,-
感應式雨刷,●,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡電動調整,●,-,-,-
後視鏡方向指示燈,●,●,●,●
方向盤換檔,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBA,EBA,EBA,EBA
動態穩定系統,ESC,ESC,ESC,ESC
車道偏離警示,-,●,●,●
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
倒車雷達,前,前,前,前
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
座椅材質,真皮,真皮,真皮,真皮
座椅高低調整,電動,電動,電動,-
腰部支撐調整,手動,手動,手動,-
前座座椅調整,●,●,●,●
座椅記憶功能,●,●,●,●
加熱座椅,●,●,●,●
通風座椅,●,●,●,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,8只,8只,12只,12只
頭燈光源,HID,HID,HID,HID
感應頭燈,●,●,●,●
主動轉向頭燈,●,●,●,●
自適應遠近光,-,-,●,●
LED日行燈,●,●,●,●
後霧燈,●,●,●,●
