Name,107 2014 花都時尚版,107 2014 左岸魅力版
新車售價,59.8萬,61.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,自手排5速,自手排5速
排氣量,998cc,998cc
能源局公佈平均油耗,21.74km/ltr,21.74km/ltr
燃料稅,4320元,4320元
牌照稅,4320元,4320元
車長(mm),3435mm,3435mm
車寬(mm),1630mm,1630mm
車高(mm),1470mm,1470mm
軸距(mm),2340mm,2340mm
車重(kg),850kg,850kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列3缸,直列3缸
汽門數,12,12
壓縮比,10.5,10.5
最大馬力,68hp@6000rpm,68hp@6000rpm
最大扭力,9.48kgm@3600rpm,9.48kgm@3600rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,155/65R14,155/65R14
後輪尺碼,155/65R14,155/65R14
方向盤換檔,●,●
旅程電腦,●,●
車內粉塵過濾,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,-,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,-,●
防盜系統,●,●
座椅材質,織布,織布
後座分離式傾倒,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
音響系統,MP3、CD,MP3、CD
音響喇叭數量,4只,4只
LED日行燈,●,●
前霧燈,●,●
後霧燈,●,●
