Name,7噸 2016 中軸12.5尺,7噸 2016 長軸14尺,7噸 2016 超長軸17尺,7噸 2016 超特長軸19尺
新車售價,洽總代理,洽總代理,洽總代理,洽總代理
車身型式,貨車,卡車,卡車,卡車
動力型式,柴油,柴油,柴油,柴油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,2998cc,2998cc,2998cc,2998cc
燃料稅,5940元,5940元,5940元,5940元
牌照稅,4500元,4500元,4500元,4500元
車長(mm),5905mm,6515mm,7340mm,8200mm
車寬(mm),2060mm,2060mm,2060mm,2060mm
車高(mm),2340mm,2335mm,2330mm,2320mm
軸距(mm),3450mm,3750mm,4350mm,4750mm
車重(kg),2245kg,2260kg,2295kg,2330kg
車門數,2門,2門,2門,2門
乘客數,3座,3座,3座,3座
進氣型式,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
最大馬力,170hp（126Kw)@3000rpm,170hp（126Kw)@3000rpm,170hp（126Kw)@3000rpm,170hp（126Kw)@3000rpm
最大扭力,400Nm（40.8kg-m)/1350rpm,400Nm（40.8kg-m)/1350rpm,400Nm（40.8kg-m)/1350rpm,400Nm（40.8kg-m)/1350rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,非獨立式,非獨立式,非獨立式,非獨立式
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧
前輪尺碼,225/75R16,225/75R16,225/75R16,225/75R16
後輪尺碼,225/75R16,225/75R16,225/75R16,225/75R16
ABS防鎖死,●,●,●,●
動態穩定系統,ESP,ESP,ESP,ESP
定速系統,●,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD
