Name,Vento 2016 1.6 TL,Vento 2016 1.6 CL,Vento 2016 1.6 HL
新車售價,60.8萬,64.8萬,69.8萬
車身型式,小型房車,小型房車,小型房車
動力型式,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速
排氣量,1598cc,1598cc,1598cc
能源局公佈平均油耗,14km/ltr,14km/ltr,14km/ltr
能源效率等級,3,3,3
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4384mm,4384mm,4384mm
車寬(mm),1699mm,1699mm,1699mm
車高(mm),1465mm,1465mm,1465mm
軸距(mm),2552mm,2552mm,2552mm
車重(kg),1190kg,1190kg,1190kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),55L,55L,55L
行李容積(L),454L,454L,454L
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,-,-,10.5
最大馬力,105hp@5250rpm,105hp@5250rpm,105hp@5250rpm
最大扭力,15.6kgm@3750rpm,15.6kgm@3750rpm,15.6kgm@3750rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,175/70R14,185/60R15,185/60R15
後輪尺碼,175/70R14,185/60R15,185/60R15
輪圈規格,14吋,15吋,15吋
感應式雨刷,-,-,●
後視鏡自動防眩目,手動,手動,●
後視鏡加熱/除霧,●,●,●
後視鏡電動折疊,-,●,-
後視鏡電動調整,-,●,●
方向盤調整,4向電子,4向電子,4向電子
動力方向盤,●,●,●
旅程電腦,●,●,●
中控鎖,●,●,●
衛星導航,-,-,●
恆溫空調,-,-,●
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
倒車雷達,後,後,後
防盜系統,●,●,●
座椅材質,織布,織布,織布
座椅高低調整,駕駛座,駕駛座,駕駛座
後座杯架,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4,4,4
前霧燈,-,●,●
後霧燈,●,●,●
