Name,Super Carry 2013 1.6
新車售價,46.8萬
車身型式,貨車
動力型式,汽油
變速系統,手排5速
排氣量,1590cc
能源局公佈平均油耗,11.7km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),4155mm
車寬(mm),1680mm
車高(mm),1915mm
軸距(mm),2625mm
車重(kg),1115kg
車門數,2門
乘客數,2座
油箱容量(L),46L
進氣型式,自然吸氣
汽缸設計,直列4缸
汽門數,16
壓縮比,9.5
最大馬力,92.4hp@5750rpm
最大扭力,12.9kgm@4500rpm
驅動型式,後輪驅動
前輪懸吊,麥花臣
後輪懸吊,葉片彈簧
煞車型式,前碟後鼓
前輪尺碼,185R14C
後輪尺碼,185R14C
音響系統,MP3、CD
音響喇叭數量,2只
前霧燈,●
