Name,Jimny 2016 Jimny
新車售價,64.8萬
車身型式,小型SUV休旅
動力型式,汽油
變速系統,自排4速
排氣量,1328cc
能源局公佈平均油耗,11.7km/ltr
能源效率等級,1
燃料稅,4800元
牌照稅,7120元
車長(mm),3675mm
車寬(mm),1600mm
車高(mm),1705mm
軸距(mm),2250mm
車重(kg),1105kg
車門數,2門
乘客數,4座
油箱容量(L),40L
前輪距(mm),1355mm
後輪距(mm),1365mm
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,9.5
最大馬力,84.9hp@6000rpm
最大扭力,11.2kgm@4100rpm
缸徑(mm),78mm
衝程(mm),69.5mm
驅動型式,四輪驅動
前輪懸吊,多連桿
後輪懸吊,多連桿
煞車型式,前碟後鼓
前輪尺碼,205/70 R15
後輪尺碼,205/70 R15
引擎擺放位置,前置
車頂行李架,●
輪圈規格,15吋
後視鏡自動防眩目,車內
後視鏡電動調整,●
方向盤調整,●
動力方向盤,●
中控鎖,●
前座正面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,ESP
循跡系統,●
倒車雷達,●
座椅材質,皮革
前座座椅調整,●
後座分離式傾倒,●
後座杯架,●
後座扶手,●
外部音源接入,AUX-IN、USB
頭燈光源,鹵素
前霧燈,●
後霧燈,●
