Name,Azera 2014 3.0 V6
新車售價,暫未公佈
車身型式,小型掀背車
動力型式,汽油
變速系統,手自排6速
排氣量,2999cc
能源局公佈平均油耗,9.8km/ltr
燃料稅,7200元
牌照稅,15210元
車長(mm),4910mm
車寬(mm),1860mm
車高(mm),1470mm
軸距(mm),2845mm
車重(kg),1500kg
車門數,4門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,10.3
最大馬力,250hp@6400rpm
最大扭力,28.8kgm@5000rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/55R17
後輪尺碼,225/55R17
電動天窗,全景式
感應式雨刷,●
旅程電腦,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
斜坡起步輔助,●
陡坡緩降系統,●
定速系統,●
倒車雷達,●
前座座椅調整,●
後座分離式傾倒,●
後座杯架,●
後座扶手,●
外部音源接入,USB、AUX-IN
音響系統,MP3、CD
音響喇叭數量,6只
感應頭燈,●
前霧燈,●
後霧燈,●
