Name,Verna 2018 1.6L 小資尊爵版,Verna 2018 1.6L 小資旗艦版
新車售價,53.9萬,59.9萬
車身型式,小型房車,小型房車
動力型式,汽油,汽油
變速系統,手自排4速,手自排4速
排氣量,1591cc,1591cc
能源局公佈平均油耗,14.3km/ltr,14.3km/ltr
能源效率等級,小客車3級,小客車3級
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4370mm,4370mm
車寬(mm),1700mm,1700mm
車高(mm),1457mm,1457mm
軸距(mm),2570mm,2570mm
車重(kg),1100kg,1100kg
車門數,4門,4門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10.5,10.5
最大馬力,124hp@6300rpm,124hp@6300rpm
最大扭力,15.9kgm@4200rpm,15.9kgm@4200rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前後碟煞,四輪碟煞
前輪尺碼,185/60R15,185/60R15
後輪尺碼,185/60R15,185/60R15
引擎擺放位置,前置,前置
輪圈規格,15吋,15吋
後視鏡自動防眩目,-,車內
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,手動高低,手動高低
多功能方向盤,-,●
動力方向盤,●,●
旅程電腦,●,●
Keyless免匙系統,-,●
中控鎖,●,●
恆溫空調,-,●
前座正面氣囊,●,●
胎壓偵測,●,●
ABS防鎖死,●,●
煞車輔助系統,●,-
倒車雷達,●,●
倒車顯影系統,-,●
防盜系統,●,●
座椅材質,皮革,皮革
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
音響系統,單片式CD、MP3,單片式CD、MP3
音響喇叭數量,6,6
頭燈光源,-,鹵素
感應頭燈,-,●
前霧燈,●,●
後霧燈,●,●
