Name,i30 CW 2012 豪華型,i30 CW 2012 旗艦型
新車售價,76.9萬,78.9萬
車身型式,中型掀背車,中型掀背車
動力型式,柴油,柴油
變速系統,自排4速,自排4速
排氣量,1582cc,1582cc
能源局公佈平均油耗,16.2km/ltr,16.2km/ltr
燃料稅,2880元,2880元
牌照稅,7120元,7120元
車長(mm),4475mm,4475mm
車寬(mm),1775mm,1775mm
車高(mm),1565mm,1565mm
軸距(mm),2700mm,2700mm
車重(kg),1380kg,1380kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,17.3,17.3
最大馬力,115hp@4000rpm,115hp@4000rpm
最大扭力,26.0kgm@1900~2750rpm,26.0kgm@1900~2750rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,195/65R15,195/65R15
後輪尺碼,195/65R15,195/65R15
車頂行李架,●,●
旅程電腦,●,●
恆溫空調,-,●
前座正面氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,-,●
後座分離式傾倒,●,●
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB、AUX-IN,USB、iPod、AUX-IN
音響系統,MP3、CD,MP3、CD
音響喇叭數量,6只,6只
感應頭燈,-,●
前霧燈,●,●
後霧燈,●,●
