Name,i10 2016 手排旗艦款,i10 2016 手排享樂款,i10 2016 自排旗艦款,i10 2016 自排享樂款
新車售價,44.9萬,46.9萬,49.9萬,51.9萬
車身型式,小型掀背車,小型掀背車,小型掀背車,小型掀背車
動力型式,汽油,汽油,汽油,汽油
變速系統,手排5速,手排5速,自排4速,自排4速
排氣量,1248cc,1248cc,1248cc,1248cc
能源局公佈平均油耗,16.8km/ltr,16.8km/ltr,15.1km/ltr,15.1km/ltr
能源效率等級,1,1,2,-
燃料稅,4800元,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元,7120元
車長(mm),3585mm,3585mm,3585mm,3585mm
車寬(mm),1595mm,1595mm,1595mm,1595mm
車高(mm),1540mm,1540mm,1540mm,1540mm
軸距(mm),2380mm,2380mm,2380mm,2380mm
車重(kg),960kg,960kg,985kg,985kg
車門數,5門,5門,5門,5門
乘客數,5座,5座,5座,5座
油箱容量(L),35L,35L,35L,35L
行李容積(L),225L,225L,225L,225L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,10.5,10.5,10.5,10.5
最大馬力,85hp@6000rpm,85hp@6000rpm,85hp@6000rpm,85hp@6000rpm
最大扭力,12.3kgm@4000rpm,12.3kgm@4000rpm,12.3kgm@4000rpm,12.3kgm@4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,165/60R14,165/60R14,175/60R14,175/60R14
後輪尺碼,165/60R14,165/60R14,175/60R14,175/60R14
引擎擺放位置,前置,前置,前置,前置
後視鏡方向指示燈,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,-,●,-,●
衛星導航,-,●,-,●
前座正面氣囊,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD
倒車顯影系統,-,●,-,●
防盜系統,●,●,●,●
座椅材質,織布,織布,織布,織布
前座座椅調整,-,●,●,●
後座分離式傾倒,-,●,-,-
外部音源接入,USB、AUX-IN,USB,USB、AUX-IN,USB
藍牙通訊,●,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4,4,4,4
頭燈光源,-,鹵素,鹵素,-
前霧燈,●,●,●,●
後霧燈,●,●,●,●
