Name,Zinger 2019 標緻型,Zinger 2019 精緻型,Zinger 2019 尊爵型,Zinger 2019 豪華型,Zinger 2019 旗艦型
新車售價,63.5萬,66.5萬,67.9萬,72.9萬,74.9萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,自排5速,自排5速,自排5速,自排5速,自排5速
排氣量,2378cc,2378cc,2378cc,2378cc,2378cc
能源局公佈平均油耗,10.9km/ltr,10.9km/ltr,10.9km/ltr,10.6km/ltr,10.6km/ltr
能源效率等級,1,1,1,1,1
燃料稅,6180元,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元
車長(mm),4610mm,4610mm,4610mm,4610mm,4610mm
車寬(mm),1775mm,1775mm,1775mm,1775mm,1775mm
車高(mm),1790mm,1790mm,1790mm,1790mm,1790mm
軸距(mm),2720mm,2720mm,2720mm,2720mm,2720mm
車重(kg),1620kg,1620kg,1620kg,1620kg,1620kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),65L,65L,65L,65L,65L
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,9.8,9.8,9.8,9.8,9.8
最大馬力,136hp@5250rpm,136hp@5250rpm,136hp@5250rpm,136hp@5250rpm,136hp@5250rpm
最大扭力,21kgm@2300rpm,21kgm@2300rpm,21kgm@2300rpm,21kgm@2300rpm,21kgm@2300rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,205/70R15,205/70R15,225/60R16,225/55R17,225/55R17
後輪尺碼,205/70R15,205/70R15,225/60R16,225/55R17,225/55R17
引擎擺放位置,前置,前置,前置,前置,前置
車頂行李架,-,-,-,●,●
輪圈規格,15吋鐵圈,15吋鋁圈,16吋鋁圈,17吋鋁圈,17吋鋁圈
後雨刷,-,●,●,●,●
後視鏡電動折疊,○,○,●,●,●
後視鏡電動調整,○,●,●,●,●
後視鏡方向指示燈,○,○,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,○,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,-,-,-,-,●
多功能資訊幕,-,-,-,-,●
中控鎖,●,●,●,●,●
後座出風口,-,●,●,●,●
前座正面氣囊,●,●,●,●,●
胎壓偵測,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●
煞車輔助系統,BOS/EBD,BOS/EBD,BOS/EBD,BOS/EBD,BOS/EBD
車道偏離警示,-,-,-,●,-
主動安全預防系統,-,-,-,●,●
定速系統,○,●,●,●,●
盲點偵測系統,○,○,○,●,●
倒車雷達,○,●,●,●,●
防盜系統,●,●,●,●,●
座椅材質,皮布雙織,皮革,皮革,皮革,皮革
前座座椅調整,●,●,●,●,●
後座座椅調整,●,●,●,●,●
後座前後滑移,-,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4,6/4
後座杯架,●,●,●,●,●
外部音源接入,●,●,●,●,●
多媒體系統,-,○,○,○,●
藍牙通訊,●,●,●,●,●
音響系統,●,●,●,●,●
音響喇叭數量,2,4,4,4,4
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素
感應頭燈,●,●,●,●,●
前霧燈,-,-,-,●,●
後霧燈,●,●,●,●,●
