Name,Leadca新達 2018 標準型底盤,Leadca新達 2018 標準型高剛性貨床,Leadca新達 2018 長軸型底盤,Leadca新達 2018 長軸型高剛性貨床,Leadca新達 2018 超長軸型底盤,Leadca新達 2018 超長軸型高剛性貨床
車身型式,貨車,貨車,貨車,貨車,貨車,貨車
動力型式,柴油,柴油,柴油,柴油,柴油,柴油
變速系統,手排5速,手排5速,手排5速,手排5速,手排5速,手排5速
排氣量,2776cc,2776cc,2776cc,2776cc,2776cc,2776cc
燃料稅,1890元,營業1890 自用5940元,1890元,1890元,1890元,1890元
牌照稅,9900元,營業9900 自用15210元,9900元,9900元,9900元,9900元
車長(mm),4995mm,5055mm,5265mm,5355mm,5930mm,5980mm
車寬(mm),1865mm,1945mm,1865mm,1945mm,1865mm,1982mm
車高(mm),1975mm,1990mm,1975mm,1990mm,1975mm,1985mm
軸距(mm),2600mm,2600mm,2800mm,2800mm,3360mm,3360mm
車重(kg),1995kg,2320kg,2035kg,2415kg,2065kg,2565kg
車門數,2門,2門,2門,2門,2門,2門
乘客數,3座,3座,3座,3座,3座,3座
前輪距(mm),1385mm,1385mm,1385mm,1385mm,1385mm,1385mm
後輪距(mm),1425mm,1425mm,1425mm,1425mm,1425mm,1425mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列四缸,直列四缸,直列四缸,直列四缸,直列四缸,直列四缸
汽門數,16V,16V,16V,16V,16V,16V
最大馬力,140hp/2900rpm,140hp/2900rpm,140hp/2900rpm,140hp/2900rpm,140hp/2900rpm,140hp/2900rpm
最大扭力,35.18kgm/1500～2000rpm,35.18kgm/1500～2000rpm,35.18kgm/1500～2000rpm,35.18kgm/1500～2000rpm,35.18kgm/1500～2000rpm,35.18kgm/1500～2000rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,非獨立式,非獨立式,非獨立式,非獨立式,非獨立式,非獨立式
後輪懸吊,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧,葉片彈簧
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16
後輪尺碼,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16,195/75R16
引擎擺放位置,前置,前置,前置,前置,前置,前置
輪圈規格,16吋,16吋,16吋,16吋,16吋,16吋
方向盤調整,手動4向,手動4向,手動4向,手動4向,手動4向,手動4向
動力方向盤,●,●,●,●,●,●
ABS防鎖死,●,●,●,●,●,●
煞車輔助系統,EBD,EBD,EBD,EBD,EBD,EBD
防盜系統,●,●,●,●,●,●
音響系統,CD/MP3,CD/MP3,CD/MP3,CD/MP3,CD/MP3,CD/MP3
頭燈光源,鹵素,鹵素,鹵素,鹵素,鹵素,鹵素
前霧燈,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●
