Name,Serena 2012 標準型5人座,Serena 2012 豪華型4人座,Serena 2012 標準型8人座,Serena 2012 尊貴型4人座,Serena 2012 豪華型7人座,Serena 2012 尊貴型7人座
新車售價,81.9萬,87.5萬,92.5萬,94.9萬,97.9萬,105.9萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,自排4速,自排4速,自排4速,自排4速,自排4速,自排4速
排氣量,2488cc,2488cc,2488cc,2488cc,2488cc,2488cc
能源局公佈平均油耗,10km/ltr,10km/ltr,10km/ltr,9.5km/ltr,9.5km/ltr,9.5km/ltr
燃料稅,7200元,7200元,7200元,7200元,7200元,7200元
牌照稅,15210元,15210元,15210元,15210元,15210元,15210元
車長(mm),4731mm,4731mm,4731mm,4731mm,4731mm,4731mm
車寬(mm),1695mm,1695mm,1695mm,1695mm,1695mm,1695mm
車高(mm),1825mm,1825mm,1825mm,1825mm,1825mm,1825mm
軸距(mm),2695mm,2695mm,2695mm,2695mm,2695mm,2695mm
車重(kg),1560kg,1600kg,1600kg,1620kg,1620kg,1640kg
車門數,5門,5門,5門,5門,5門,5門
乘客數,5座,4座,8座,4座,7座,7座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸
汽門數,24,24,24,24,24,24
壓縮比,9.5,9.5,9.5,9.5,9.5,9.5
最大馬力,160hp@5600rpm,160hp@5600rpm,160hp@5600rpm,160hp@5600rpm,160hp@5600rpm,160hp@5600rpm
最大扭力,24.5kgm@4000rpm,24.5kgm@4000rpm,24.5kgm@4000rpm,24.5kgm@4000rpm,24.5kgm@4000rpm,24.5kgm@4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,205/65R15,205/65R15,205/65R15,205/65R15,205/65R15,205/65R15
後輪尺碼,205/65R15,205/65R15,205/65R15,205/65R15,205/65R15,205/65R15
中央顯示幕,●,●,●,●,●,●
抬頭顯示幕,●,●,●,●,●,●
恆溫空調,●,●,●,●,●,●
前座正面氣囊,-,-,-,●,-,●
ABS防鎖死,-,●,-,●,●,●
倒車雷達,●,●,●,●,●,●
倒車顯影系統,-,-,-,●,-,●
防盜系統,●,●,●,●,●,●
後座座椅調整,-,-,-,-,-,●
後座分離式傾倒,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●
外部音源接入,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN,AUX-IN
音響系統,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,4只,4只,4只,6只,4只,6只
後座影音功能,-,●,-,●,●,●
前霧燈,-,-,-,●,-,●
後霧燈,●,●,●,●,●,●
