Name,Bluebird 2013 2.0 L,Bluebird 2013 2.0 I,Bluebird 2013 2.0 P,Bluebird 2013 2.0 H
新車售價,69.9萬,74萬,79.9萬,82.9萬
車身型式,中型房車,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1997cc,1997cc,1997cc,1997cc
能源局公佈平均油耗,15km/ltr,15km/ltr,15km/ltr,15km/ltr
燃料稅,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元
車長(mm),4610mm,4610mm,4610mm,4610mm
車寬(mm),1695mm,1695mm,1695mm,1695mm
車高(mm),1510mm,1510mm,1510mm,1510mm
軸距(mm),2700mm,2700mm,2700mm,2700mm
車重(kg),1260kg,1260kg,1260kg,1260kg
車門數,4門,4門,4門,4門
乘客數,5座,5座,5座,5座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16
壓縮比,10,10,10,10
最大馬力,132hp@5200rpm,132hp@5200rpm,132hp@5200rpm,132hp@5200rpm
最大扭力,19.2kgm@4400rpm,19.2kgm@4400rpm,19.2kgm@4400rpm,19.2kgm@4400rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,195/60R16,195/60R16,195/60R16,195/60R16
後輪尺碼,195/60R16,195/60R16,195/60R16,195/60R16
電動天窗,-,-,●,●
後視鏡電動折疊,-,●,●,●
中央顯示幕,-,-,-,●
抬頭顯示幕,●,●,●,●
Keyless免匙系統,-,●,●,●
恆溫空調,●,●,●,●
前座正面氣囊,●,●,●,●
ABS防鎖死,●,●,●,●
定速系統,-,●,●,●
倒車雷達,●,●,●,●
倒車顯影系統,●,●,●,●
防盜系統,●,●,●,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4只,4只,6只,6只
頭燈光源,-,-,HID,HID
感應頭燈,-,●,●,●
主動轉向頭燈,-,-,●,●
前霧燈,-,●,●,●
