Name,Tiida 4D 2018 傳奇版,Tiida 4D 2018 豪華版
新車售價,52.9萬,55.5萬
車身型式,中型房車,中型房車
動力型式,汽油,汽油
變速系統,自排4速,自排4速
排氣量,1598cc,1598cc
能源局公佈平均油耗,14.1km/ltr,14.1km/ltr
能源效率等級,2,2
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4395mm,4395mm
車寬(mm),1695mm,1695mm
車高(mm),1535mm,1535mm
軸距(mm),2600mm,2600mm
車重(kg),1166kg,1166kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),52L,52L
行李容積(L),467L,467L
前輪距(mm),1480mm,1480mm
後輪距(mm),1485mm,1485mm
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,9.8,9.8
最大馬力,109hp@6000rpm,109hp@6000rpm
最大扭力,15.6kgm@4400rpm,15.6kgm@4400rpm
缸徑(mm),78mm,78mm
衝程(mm),83.61mm,83.61mm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,185/65R15,185/65R15
後輪尺碼,185/65R15,185/65R15
引擎擺放位置,前置,前置
電動開闔尾門/行李蓋,●,●
輪圈規格,15吋鐵圈,15吋
後視鏡加熱/除霧,●,●
後視鏡電動調整,●,●
動力方向盤,●,●
旅程電腦,●,●
抬頭顯示幕,○,○
中控鎖,●,●
前座正面氣囊,●,●
胎壓偵測,●,●
煞車輔助系統,BOS,BOS
車道偏離警示,○,○
倒車雷達,隱藏式雙倒車雷達,隱藏式雙倒車雷達
防盜系統,●,●
座椅材質,織布,皮革
座椅高低調整,60mm,60mm
外部音源接入,USB/AUX-IN,USB/AUX-IN
音響系統,MP3/CD,MP3/CD
音響喇叭數量,4,4
後霧燈,●,●
