Name,X3 2019 sDrive20i,X3 2019 xDrive20d 運動版,X3 2019 xDrive30i 運動版,X3 2019 xDrive30i 豪華運動版,X3 2019 M40i
新車售價,229萬,249萬,262萬,282萬,358萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1998cc,1995cc,1998cc,1998cc,2998cc
極速(km/h),215km/h,210km/h,240km/h,240km/h,250km/h
官方0-100km/h加速(s),8.3s,8.0s,6.3s,6.3s,4.8s
能源局公佈平均油耗,13.15km/ltr,15.1km/ltr,11.5km/ltr,11.5km/ltr,10.5km/ltr
能源效率等級,1級,1級,1級,1級,1級
燃料稅,6180元,3708元,6180元,6180元,7200元
牌照稅,11230元,11230元,11230元,11230元,15210元
車長(mm),4708mm,4708mm,4708mm,4708mm,4708mm
車寬(mm),1891mm,1891mm,1891mm,1891mm,1891mm
車高(mm),1676mm,1676mm,1676mm,1676mm,1676mm
軸距(mm),2864mm,2864mm,2864mm,2864mm,2864mm
車重(kg),1715kg,1750kg,1715kg,1715kg,1810kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),68L,60L,68L,68L,65L
行李容積(L),550~1600L,550~1600L,550~1600L,550~1600L,550~1600L
前輪距(mm),1620mm,1620mm,1620mm,1620mm,1610mm
後輪距(mm),1636mm,1636mm,1636mm,1636mm,1594mm
風阻係數,-,0.29,-,-,-
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列6缸
汽門數,16,16,16,16,24
壓縮比,-,-,-,10.0,-
最大馬力,184hp@5000rpm,190hp@4000rpm,252hp@5200rpm,252hp@5200rpm,360hp@5500~6500rpm
最大扭力,29.6kgm@1350rpm,40.8kgm@1750~2500rpm,35.7kgm@1450rpm,35.7kgm@1450rpm,51.0kgm@1520~4800rpm
驅動型式,後輪驅動,四輪驅動,四輪驅動,四輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,四輪碟煞
前輪尺碼,225/60R18,245/50R19,245/50R19,245/50R19,245/40R21
後輪尺碼,225/60R18,245/50R19,245/50R19,245/50R19,275/35R21
引擎擺放位置,前置,前置,前置,前置,前置
電動天窗,○,○,○,○,●
運動外觀套件,○,○,○,○,●
電動開闔尾門/行李蓋,●,●,●,●,●
車頂行李架,●,●,●,●,-
輪圈規格,18吋,19吋,19吋,19吋,21吋
後雨刷,●,●,●,●,●
感應式雨刷,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●
後視鏡記憶,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤調整,●,●,●,●,●
多功能方向盤,●,●,●,●,●
方向盤換檔,●,●,●,●,●
動力方向盤,●,●,●,●,●
旅程電腦,●,●,●,●,●
中央顯示幕,●,●,●,●,●
