Name,Z4 2017 sDrive20i
新車售價,282萬
車身型式,敞篷車
動力型式,汽油
變速系統,手自排8速
排氣量,1997cc
極速(km/h),235km/h
官方0-100km/h加速(s),6.9s
能源局公佈平均油耗,12.5km/ltr
燃料稅,6180元
牌照稅,11230元
車長(mm),4239mm
車寬(mm),1790mm
車高(mm),1291mm
軸距(mm),2496mm
車重(kg),1420kg
車門數,2門
乘客數,2座
油箱容量(L),55L
行李容積(L),310L
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,11
最大馬力,184hp@5000rpm
最大扭力,27.5kgm@1250rpm
驅動型式,後輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/45R17
後輪尺碼,255/40R17
備胎規格,非尺寸
引擎擺放位置,前置
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡記憶,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
衛星導航,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
失壓續跑胎,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,DSC
循跡系統,●
定速系統,●
倒車雷達,前後
倒車顯影系統,●
防盜系統,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,●
前座座椅調整,●
座椅記憶功能,●
外部音源接入,USB、AUX-IN
多媒體系統,iDive
藍牙通訊,●
音響系統,MP3、DVD、CD
音響喇叭數量,11只
頭燈光源,HID
感應頭燈,●
LED日行燈,●
後霧燈,●
