Name,Range Rover Sport 2019 2.0 Si4 HSE,Range Rover Sport 2019 3.0 SDV6 SE,Range Rover Sport 2019 3.0 SCV6 SE,Range Rover Sport 2019 3.0 SDV6 HSE,Range Rover Sport 2019 3.0 SCV6 HSE,Range Rover Sport 2019 3.0 SDV6 HSE Dynamic,Range Rover Sport 2019 3.0 SCV6 SE Dynamic,Range Rover Sport 2019 5.0 SVR
新車售價,352萬,371萬,371萬,418萬,418萬,442萬,448萬,698萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,汽油,柴油,汽油,柴油,汽油,柴油,汽油,汽油
變速系統,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速,手自排8速
排氣量,1997cc,2993cc,2995cc,2993cc,2995cc,2993cc,2995cc,4999cc
極速(km/h),201km/h,209km/h,209km/h,209km/h,209km/h,209km/h,209km/h,283km/h
官方0-100km/h加速(s),7.3s,7.3s,7.2s,7.3s,7.2s,7.3s,7.2s,4.5s
能源局公佈平均油耗,12.3km/ltr,14km/ltr,7.9km/ltr,14km/ltr,7.9km/ltr,14km/ltr,7.9km/ltr,7.8km/ltr
燃料稅,6180元,4320元,7200元,4320元,7200元,4320元,7200元,12180元
牌照稅,11230元,15210元,15210元,15210元,15210元,15210元,15210元,46170元
車長(mm),4879mm,4879mm,4879mm,4879mm,4879mm,4879mm,4879mm,4879mm
車寬(mm),2220mm,2220mm,2220mm,2220mm,2220mm,2220mm,2220mm,2220mm
車高(mm),1802mm,1802mm,1802mm,1802mm,1802mm,1802mm,1802mm,1802mm
軸距(mm),2923mm,2923mm,2923mm,2923mm,2923mm,2923mm,2923mm,2923mm
車重(kg),2083kg,2178kg,2195kg,2178kg,2195kg,2178kg,2195kg,2310kg
車門數,5門,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),104L,86L,104L,86L,104L,86L,104L,104L
行李容積(L),780L,780L,780L,780L,780L,780L,780L,780L
進氣型式,渦輪增壓,渦輪增壓,機械增壓,機械增壓,機械增壓,機械增壓,機械增壓,機械增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸,V型6缸,V型8缸
汽門數,16,24,24,24,24,24,24,32
壓縮比,10.5,16.1,-,-,-,-,10.5,-
最大馬力,300hp@5500rpm,306hp@4000rpm,340hp@6500rpm,306hp@4000rpm,340hp@6500rpm,306hp@4000rpm,340hp@6500rpm,575hp@6000~6500rpm
最大扭力,40.8gm@1500~4000rpm,71.4kgm@1500~1750rpm,45.9kgm@3500~5000rpm,71.4kgm@1500~1750rpm,45.9kgm@3500~5000rpm,71.4kgm@1500~1750rpm,45.9kgm@3500~5000rpm,71.4kgm@3000~5000rpm
