Name,Sirion 2013 1.5 Sport+,Sirion 2013 1.5 Sport影音版
新車售價,65.8萬,68.8萬
車身型式,小型掀背車,小型掀背車
動力型式,汽油,汽油
變速系統,自排4速,自排4速
排氣量,1495cc,1495cc
能源局公佈平均油耗,17.3km/ltr,17.3km/ltr
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),3630mm,3630mm
車寬(mm),1665mm,1665mm
車高(mm),1550mm,1550mm
軸距(mm),2430mm,2430mm
車重(kg),980kg,980kg
車門數,5門,5門
乘客數,5座,5座
進氣型式,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10,10
最大馬力,103hp@6000rpm,103hp@6000rpm
最大扭力,13.5kgm@4400rpm,13.5kgm@4400rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,175/65R14,175/65R14
後輪尺碼,175/65R14,175/65R14
旅程電腦,●,●
中央顯示幕,-,●
前座正面氣囊,●,●
前座側面氣囊,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX
ABS防鎖死,●,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,織布,織布
後座分離式傾倒,●,●
後座杯架,●,●
外部音源接入,AUX-IN,AUX-IN
音響系統,MP3、CD,MP3、DVD、CD
音響喇叭數量,4只,4只
前霧燈,●,●
