Name,Coo 2008 1.5 MX
新車售價,71.8萬
車身型式,小型掀背車
動力型式,汽油
變速系統,自排4速
排氣量,1495cc
能源局公佈平均油耗,16.1km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),3800mm
車寬(mm),1690mm
車高(mm),1635mm
軸距(mm),2540mm
車重(kg),1050kg
車門數,5門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10
最大馬力,103hp@6000rpm
最大扭力,14.1kgm@4400rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,拖曳臂
煞車型式,前碟後鼓
前輪尺碼,185/55R15
後輪尺碼,185/55R15
後視鏡方向指示燈,●
旅程電腦,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
倒車雷達,●
防盜系統,●
後座前後滑移,●
後座分離式傾倒,●
後座杯架,●
音響系統,MP3、CD
音響喇叭數量,6只
前霧燈,●
