Name,SC 2010 430
新車售價,336萬
車身型式,雙門跑車
動力型式,汽油
變速系統,手自排5速
排氣量,4293cc
能源局公佈平均油耗,10.2km/ltr
燃料稅,11220元
牌照稅,46170元
車長(mm),4535mm
車寬(mm),1825mm
車高(mm),1350mm
軸距(mm),2620mm
車重(kg),1745kg
車門數,2門
乘客數,2+2座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,10.5
最大馬力,285hp@5600rpm
最大扭力,42.7kgm@3500rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,245/40R18
後輪尺碼,245/40R18
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤調整,電動
旅程電腦,●
中央顯示幕,●
中控鎖,●
衛星導航,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
胎壓偵測,●
失壓續跑胎,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
座椅材質,皮革
腰部支撐調整,電動
前座座椅調整,●
藍牙通訊,●
音響系統,DVD、CD
音響喇叭數量,9只
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
前霧燈,●
後霧燈,●
