Name,Panamera 2018 3.0T V6,Panamera 2018 4,Panamera 2018 4 Executive,Panamera 2018 4 E-Hybrid,Panamera 2018 4 E-Hybrid Executive,Panamera 2018 4S,Panamera 2018 4S Diesel,Panamera 2018 4S Executive,Panamera 2018 GTS,Panamera 2018 Turbo,Panamera 2018 Turbo Executive,Panamera 2018 Turbo S E-Hybrid,Panamera 2018 Turbo S E-Hybrid Executive
新車售價,439萬,523萬,573萬,605萬,655萬,763萬,775萬,816萬,891萬,1048萬,1078萬,1251萬,1281萬
車身型式,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車,豪華大型房車
動力型式,汽油,汽油,汽油,油電混合,油電混合,汽油,柴油,汽油,汽油,汽油,汽油,汽油,汽油
變速系統,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速,自手排8速
排氣量,2995cc,2995cc,2995cc,2894cc,2894cc,2894cc,3956cc,2894cc,3996cc,3996cc,3996cc,3996cc,3996cc
極速(km/h),264km/h,262km/h,262km/h,278km/h,278km/h,289km/h,289km/h,289km/h,292km/h,306km/h,306km/h,310km/h,310km/h
官方0-100km/h加速(s),5.7s,5.5s,5.6s,4.6s,4.7s,4.4s,4.4s,4.5s,4.1s,3.8s,3.9s,-,-
能源局公佈平均油耗,-,-,-,40km/ltr,-,-,-,-,-,-,-,-,-
燃料稅,7200元,7200元,7200元,7200元,7200元,7200元,7200元,7200元,9810元,9810元,9810元,9810元,9810元
牌照稅,15210元,15210元,15210元,15210元,15210元,15210元,15210元,15210元,28220元,28220元,28220元,28220元,28220元
車長(mm),5049mm,5049mm,5199mm,5049mm,5199mm,5049mm,5049mm,5199mm,5053mm,5049mm,5199mm,5049mm,5199mm
車寬(mm),1937mm,1937mm,1937mm,1937mm,1937mm,1937mm,1937mm,1937mm,2165mm,1937mm,1937mm,1937mm,2165mm
車高(mm),1426mm,1426mm,1428mm,1423mm,1428mm,1423mm,1423mm,1428mm,1417mm,1427mm,1432mm,1427mm,1937mm
軸距(mm),2950mm,2950mm,3100mm,2950mm,3100mm,2950mm,2950mm,3100mm,2950mm,2950mm,3100mm,2950mm,3100mm
車重(kg),1815kg,1850kg,1935kg,2170kg,2170kg,1870kg,2050kg,1980kg,1995kg,1995kg,2100kg,2310kg,2410kg
車門數,4門,4門,4門,4門,4門,4門,4門,4門,4門,4門,4門,4門,4門
乘客數,4座,4座,4座,4座,4座,4座,4座,4座,4座,4座,4座,5座,5座
油箱容量(L),75L,75L,75L,80L,80L,75L,75L,75L,90L,90L,90L,80L,80L
行李容積(L),500~1304L,500~1304L,500~1483L,405~1215L,405~1215L,500~1304L,500~1304L,500~1483L,500L,500~1304L,500~1483L,405L,405~1295L
風阻係數,-,-,-,-,-,-,-,-,0.31 Cd,-,-,0.29 Cd,0.29 Cd
進氣型式,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,-,雙渦輪增壓,雙渦輪增壓,雙渦輪增壓,"自然吸氣,雙渦輪增壓"
