Name,Vios 2018 雅緻,Vios 2018 經典,Vios 2018 豪華
新車售價,54.9萬,57.9萬,63.9萬
車身型式,小型房車,小型房車,小型房車
動力型式,汽油,汽油,汽油
變速系統,無段變速CVT,無段變速CVT,無段變速CVT
排氣量,1496cc,1496cc,1496cc
能源局公佈平均油耗,17.5km/ltr,16.8km/ltr,16.8km/ltr
能源效率等級,1,1,1
燃料稅,4800元,4800元,4800元
牌照稅,7120元,7120元,7120元
車長(mm),4410mm,4410mm,4410mm
車寬(mm),1730mm,1730mm,1730mm
車高(mm),1475mm,1475mm,1475mm
軸距(mm),2550mm,2550mm,2550mm
車重(kg),1070kg,1080kg,1085kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),42L,42L,42L
行李容積(L),476L,476L,476L
前輪距(mm),1480mm,1470mm,1470mm
後輪距(mm),1470mm,1460mm,1460mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,11.5,11.5,11.5
最大馬力,107hp@6000rpm,107hp@6000rpm,107hp@6000rpm
最大扭力,14.3kgm@4200rpm,14.3kgm@4200rpm,14.3kgm@4200rpm
缸徑(mm),75mm,75mm,75mm
衝程(mm),90.6mm,90.6mm,90.6mm
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,175/65R14,185/60R15,185/60R15
後輪尺碼,175/65R14,185/60R15,185/60R15
引擎擺放位置,前置,前置,前置
輪圈規格,14吋,15吋,15吋
後視鏡電動折疊,-,●,●
後視鏡電動調整,-,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,手動高低,手動高低,手動高低
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,-,-,●
Keyless免匙系統,-,-,●
中控鎖,●,●,●
恆溫空調,-,-,●
前座正面氣囊,●,●,●
前座側面氣囊,-,-,●
側面氣簾,-,-,●
膝部氣囊,-,-,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,ABS/EBD/BOS/BAS,ABS/EBD/BOS/BAS,ABS/EBD/BOS/BAS
動態穩定系統,●,●,●
循跡系統,●,●,●
斜坡起步輔助,●,●,●
定速系統,-,-,●
倒車雷達,-,●,●
防盜系統,●,●,●
駕駛模式選擇,-,-,●
座椅材質,皮革,皮革,皮革
座椅高低調整,●,●,●
前座座椅調整,●,●,●
後座杯架,●,●,●
外部音源接入,"USB, Aux-in","USB, Aux-in",-
多媒體系統,-,-,●
藍牙通訊,-,-,●
音響系統,●,●,●
音響喇叭數量,2,4,4
頭燈光源,鹵素,鹵素,鹵素
頭燈水準自動調整,●,●,●
LED日行燈,●,●,●
LED尾燈,-,-,●
後霧燈,●,●,●
