Name,Innova 2016 2.0 J 手排,Innova 2016 2.0 E,Innova 2016 2.0 G,Innova 2016 2.0 J,Innova 2016 2.0 G-Hi
新車售價,53.9萬,61萬,68萬,76萬,76萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,手排5速,自排4速,自排4速,自排4速,自排4速
排氣量,1998cc,1998cc,1998cc,1998cc,1998cc
能源局公佈平均油耗,9.2km/ltr,9.2km/ltr,9.2km/ltr,9.2km/ltr,9.2km/ltr
能源效率等級,3,3,3,3,3
燃料稅,6180元,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元
車長(mm),4555mm,4555mm,4555mm,4555mm,4555mm
車寬(mm),1770mm,1770mm,1770mm,1770mm,1770mm
車高(mm),1745mm,1745mm,1745mm,1745mm,1745mm
軸距(mm),2750mm,2750mm,2750mm,2750mm,2750mm
車重(kg),1555kg,1580kg,1590kg,1590kg,1590kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座
油箱容量(L),55L,55L,55L,55L,55L
前輪距(mm),1510mm,1510mm,1510mm,1510mm,1510mm
後輪距(mm),1510mm,1510mm,1510mm,1510mm,1510mm
最小離地高度(mm),-,-,168mm,168mm,168mm
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,9.8,9.8,9.8,9.8,9.8
最大馬力,133hp@5600rpm,133hp@5600rpm,133hp@5600rpm,133hp@5600rpm,133hp@5600rpm
最大扭力,18.5kgm@4000rpm,18.5kgm@4000rpm,18.5kgm@4000rpm,18.5kgm@4000rpm,18.5kgm@4000rpm
驅動型式,後輪驅動,後輪驅動,後輪驅動,後輪驅動,後輪驅動
前輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
後輪懸吊,多連桿,多連桿,多連桿,多連桿,多連桿
煞車型式,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓,前碟後鼓
前輪尺碼,205/65R15,205/65R15,205/65R15,205/65R15,205/65R15
後輪尺碼,205/65R15,205/65R15,205/65R15,205/65R15,205/65R15
引擎擺放位置,前置,前置,前置,前置,前置
方向盤調整,●,●,●,●,●
多功能方向盤,-,-,-,●,●
旅程電腦,-,-,-,●,●
前座正面氣囊,●,●,●,●,●
ABS防鎖死,-,-,●,●,●
倒車雷達,-,-,●,●,●
防盜系統,-,●,-,●,●
座椅材質,織布,織布,皮革,皮革,皮革
前座座椅調整,-,-,-,●,●
後座分離式傾倒,●,●,●,●,●
後座杯架,●,●,●,●,●
後座扶手,-,-,●,●,●
外部音源接入,-,-,-,AUX-IN,AUX-IN
音響喇叭數量,4,4,4,6,6
頭燈光源,-,-,鹵素,-,-
前霧燈,-,-,●,●,●
