Name,Q5 2018 35 TDI quattro,Q5 2018 35 TDI quattro Active,Q5 2018 45 TFSI quattro,Q5 2018 45 TFSI quattro Active,Q5 2018 35 TDI quattro Premium,Q5 2018 35 TDI quattro Sport,Q5 2018 45 TFSI quattro Premium,Q5 2018 45 TFSI quattro Sport,Q5 2018 SQ5
新車售價,232萬,236萬,239萬,243萬,264萬,264萬,271萬,271萬,360萬
車身型式,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅,豪華SUV休旅
動力型式,柴油,柴油,汽油,汽油,柴油,柴油,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速,自手排7速,手自排8速
排氣量,1968cc,1968cc,1984cc,1984cc,1968cc,1968cc,1984cc,1984cc,2995cc
極速(km/h),218km/h,218km/h,237km/h,237km/h,218km/h,218km/h,237km/h,237km/h,250km/h
官方0-100km/h加速(s),7.9s,7.9s,6.3s,6.3s,7.9s,7.9s,6.3s,6.3s,5.4s
能源局公佈平均油耗,-,-,12.6km/ltr,-,-,-,-,12.6km/ltr,-
能源效率等級,-,-,-,-,-,-,-,2,-
燃料稅,3708元,3708元,6180元,6180元,3708元,3708元,6180元,6180元,7200元
牌照稅,11230元,11230元,11230元,11230元,11230元,11230元,11230元,11230元,15210元
車長(mm),4663mm,4663mm,4663mm,4663mm,4663mm,4663mm,4663mm,4663mm,4671mm
車寬(mm),1893mm,1893mm,1893mm,1893mm,1893mm,1893mm,1893mm,1893mm,1893mm
車高(mm),1659mm,1659mm,1659mm,1659mm,1659mm,1659mm,1659mm,1659mm,1635mm
軸距(mm),2819mm,2819mm,2819mm,2819mm,2819mm,2819mm,2819mm,2819mm,2824mm
車重(kg),1770kg,1770kg,1720kg,1720kg,1770kg,1770kg,1720kg,1720kg,1870kg
車門數,5門,5門,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),65L,65L,70L,70L,65L,65L,70L,70L,70L
行李容積(L),550-1550L,550-1550L,550-1550L,550-1550L,550-1550L,550-1550L,550-1550L,550-1550L,550-1550L
前輪距(mm),1616mm,1616mm,1616mm,1616mm,1616mm,1616mm,1616mm,1616mm,-
