Name,Legend 2009 3.5 V6
新車售價,258萬
車身型式,豪華大型房車
動力型式,汽油
變速系統,手自排5速
排氣量,3471cc
能源局公佈平均油耗,9.8km/ltr
燃料稅,8640元
牌照稅,28220元
車長(mm),4955mm
車寬(mm),1845mm
車高(mm),1450mm
軸距(mm),2800mm
車重(kg),1845kg
車門數,4門
乘客數,5座
進氣型式,自然吸氣
汽門構造,SOHC單凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,11
最大馬力,295hp@6200rpm
最大扭力,30.6kgm@5000rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,235/50R17
後輪尺碼,235/50R17
電動天窗,●
感應式雨刷,●
後視鏡加熱/除霧,●
方向盤換檔,●
旅程電腦,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
座椅記憶功能,●
後座杯架,●
後座扶手,●
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
主動轉向頭燈,●
LED尾燈,●
前霧燈,●
