Name,Civic 2016 1.8 VTi,Civic 2016 1.8 VTi-S,Civic 2016 2.0 S
新車售價,73.9萬,78.9萬,87.9萬
車身型式,中型房車,中型房車,中型房車
動力型式,汽油,汽油,汽油
變速系統,手自排5速,手自排5速,手自排5速
排氣量,1798cc,1798cc,1997cc
能源局公佈平均油耗,15.0km/ltr,15.0km/ltr,13.2km/ltr
能源效率等級,2,2,2
燃料稅,4800元,4800元,6180元
牌照稅,7120元,7120元,11230元
車長(mm),4535mm,4535mm,4535mm
車寬(mm),1755mm,1755mm,1755mm
車高(mm),1435mm,1435mm,1435mm
軸距(mm),2670mm,2670mm,2670mm
車重(kg),1225kg,1245kg,1280kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),50L,50L,50L
前輪距(mm),1500mm,1500mm,1500mm
後輪距(mm),1520mm,1520mm,1520mm
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,10.6,10.6,10.6
最大馬力,141hp@6500rpm,141hp@6500rpm,155hp@6500rpm
最大扭力,17.8kgm@4300rpm,17.8kgm@4300rpm,19.4kgm@4300rpm
缸徑(mm),81mm,81mm,-
衝程(mm),87.25mm,87.25mm,-
驅動型式,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205/55R16,215/45R17
後輪尺碼,205/55R16,205/55R16,215/45R17
引擎擺放位置,前置,前置,前置
輪圈規格,-,16吋,17吋
後視鏡電動折疊,標配,標配,標配
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,手動4向,手動4向,手動4向
多功能方向盤,-,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
衛星導航,-,●,●
恆溫空調,標配,●,標配
車內粉塵過濾,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,-,●,●
側面氣簾,-,-,●
兒童安全椅固定裝置,-,ISOFIX,ISOFIX
ABS防鎖死,●,●,●
煞車輔助系統,-,EBD,EBD
動態穩定系統,-,VSA,VSA
循跡系統,-,標配,標配
定速系統,●,●,●
倒車雷達,標配,標配,標配
倒車顯影系統,●,●,●
防盜系統,●,●,●
座椅材質,皮革,皮革,皮革
前座座椅調整,●,●,●
後座座椅調整,●,●,●
後座分離式傾倒,標配,標配,標配
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,-,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4,6,6
頭燈光源,-,HID,HID
前霧燈,-,●,●
後霧燈,●,●,●
