Name,F12 Berlinetta 2016 V12
新車售價,1761萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,6262cc
極速(km/h),340km/h
官方0-100km/h加速(s),3.1s
燃料稅,13950元
牌照稅,69690元
車長(mm),4618mm
車寬(mm),1942mm
車高(mm),1273mm
軸距(mm),2720mm
車重(kg),1525kg
車門數,2門
乘客數,2座
油箱容量(L),92L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,13.5
最大馬力,740hp@8250rpm
最大扭力,70.4kgm@6000rpm
缸徑(mm),94mm
衝程(mm),75.2mm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/35R20
後輪尺碼,315/35R20
引擎擺放位置,前置
感應式雨刷,●
後視鏡加熱/除霧,●
後視鏡記憶,●
方向盤換檔,●
旅程電腦,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
動態穩定系統,ECE
防盜系統,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,電動
腰部支撐調整,電動
前座座椅調整,●
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
