Name,FF 2016 V12
新車售價,1713.6萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速雙離合
排氣量,6262cc
極速(km/h),335km/h
官方0-100km/h加速(s),3.7s
燃料稅,13950元
牌照稅,69690元
車長(mm),4907mm
車寬(mm),1953mm
車高(mm),1379mm
軸距(mm),2990mm
車重(kg),1790kg
車門數,3門
乘客數,4座
油箱容量(L),91L
行李容積(L),450L
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,V型12缸
汽門數,48
壓縮比,12.3
最大馬力,660hp@8000rpm
最大扭力,69.6kgm@6000rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,245/35R20
後輪尺碼,295/35R20
引擎擺放位置,前置
感應式雨刷,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
中控鎖,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
胎壓偵測,●
ABS防鎖死,●
動態穩定系統,ECE
防盜系統,●
駕駛模式選擇,●
跑車式座椅,●
前座座椅調整,●
音響系統,MP3、CD
音響喇叭數量,6只
頭燈光源,HID
感應頭燈,●
