Name,600 LT 2019 Coupe
新車售價,1380萬
車身型式,雙門跑車
動力型式,汽油
變速系統,自手排7速
排氣量,3799cc
極速(km/h),328km/h
官方0-100km/h加速(s),2.9s
燃料稅,9810元
牌照稅,28220元
車長(mm),4604mm
車寬(mm),2045mm
車高(mm),1194mm
軸距(mm),2670mm
車重(kg),1247kg
車門數,2門
乘客數,2座
油箱容量(L),72L
行李容積(L),150L
前輪距(mm),1680mm
後輪距(mm),1591mm
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
最大馬力,600hp@7500rpm
最大扭力,63.2kgm@5500~6500rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,225/35R19
後輪尺碼,285/35R20
引擎擺放位置,中置
運動外觀套件,●
輪圈規格,前19、後20吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
後視鏡方向指示燈,●
方向盤調整,●
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
中控鎖,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,●
動態穩定系統,●
循跡系統,●
倒車雷達,●
防盜系統,●
氣壓懸吊,●
電子差速器,●
電子手剎車,●
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,●
腰部支撐調整,●
前座座椅調整,●
外部音源接入,●
多媒體系統,●
藍牙通訊,●
音響系統,●
音響喇叭數量,●
頭燈光源,●
感應頭燈,●
LED日行燈,●
後霧燈,●
